STATION,STATION_NAME,DATE,PRCP,TAVG,TMAX,TMIN,State
GHCND:MX000016144,ZAMORA MX,20160306,0.0,22.0,31.5,9.8,Michoacan
GHCND:MXM00076382,TORREON INTERNATIONAL MX,20170206,0.0,22.1,31.5,10.8,Coahuila
GHCND:MXM00076423,DURANGO DGO. MX,20110405,0.0,22.1,31.5,9.5,Durango
GHCND:MX000076577,GUANAJUATO MX,20150810,4.8,22.1,31.5,13.2,Guanajuato
GHCND:MX000016144,ZAMORA MX,20120904,0.0,22.1,31.5,15.5,Michoacan
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20120308,0.0,22.1,31.5,14.2,San Luis Potosi
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20131019,0.0,22.1,31.5,15.9,San Luis Potosi
GHCND:MXM00076848,COMITAN CHIS. MX,20130403,0.0,22.2,31.5,11.5,Chiapas
GHCND:MXM00076848,COMITAN CHIS. MX,20160313,0.0,22.2,31.5,14.2,Chiapas
GHCND:MXM00076423,DURANGO DGO. MX,20121025,0.0,22.2,31.5,10.0,Durango
GHCND:MX000076577,GUANAJUATO MX,20110404,0.0,22.2,31.5,12.3,Guanajuato
GHCND:MXM00076762,CHILPANCINGO RO. MX,20140618,0.0,22.2,31.5,19.0,Guerrero
GHCND:MX000016144,ZAMORA MX,20120628,0.0,22.2,31.5,15.0,Michoacan
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20131015,0.0,22.2,31.5,15.4,San Luis Potosi
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20140408,0.0,22.3,31.5,11.3,San Luis Potosi
GHCND:MXM00076848,COMITAN CHIS. MX,20130319,0.0,22.4,31.5,14.5,Chiapas
GHCND:MXM00076382,TORREON INTERNATIONAL MX,20170209,0.0,22.4,31.5,10.4,Coahuila
GHCND:MXM00076762,CHILPANCINGO RO. MX,20120930,0.0,22.4,31.5,17.0,Guerrero
GHCND:MX000016144,ZAMORA MX,20141019,0.0,22.4,31.5,12.0,Michoacan
GHCND:MXM00076471,SOMBRERETE ZAC. MX,20160504,0.0,22.4,31.5,9.6,Zacatecas
GHCND:MXM00076762,CHILPANCINGO RO. MX,20130614,0.3,22.5,31.5,18.8,Guerrero
GHCND:MX000014066,GUADALAJARA MX,20130322,0.0,22.5,31.5,9.2,Jalisco
GHCND:MX000016144,ZAMORA MX,20120317,0.0,22.5,31.5,10.0,Michoacan
GHCND:MX000016144,ZAMORA MX,20120718,2.5,22.5,31.5,16.0,Michoacan
GHCND:MX000016144,ZAMORA MX,20150819,0.0,22.5,31.5,14.4,Michoacan
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20120910,0.0,22.5,31.5,17.0,San Luis Potosi
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20121209,0.0,22.5,31.5,10.8,San Luis Potosi
GHCND:MX000076577,GUANAJUATO MX,20120512,0.0,22.6,31.5,14.0,Guanajuato
GHCND:MXM00076762,CHILPANCINGO RO. MX,20150221,0.0,22.6,31.5,16.3,Guerrero
GHCND:MX000016144,ZAMORA MX,20120623,0.0,22.6,31.5,17.5,Michoacan
GHCND:MX000016144,ZAMORA MX,20150708,2.8,22.6,31.5,15.4,Michoacan
GHCND:MX000076458,COLONIA JUAN CARRAS MX,20130125,0.0,22.6,31.5,14.4,Sinaloa
GHCND:MXM00076762,CHILPANCINGO RO. MX,20130529,0.0,22.7,31.5,18.0,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20140925,1.5,22.7,31.5,16.8,Guerrero
GHCND:MX000014066,GUADALAJARA MX,20121024,0.0,22.7,31.5,13.5,Jalisco
GHCND:MX000016144,ZAMORA MX,20120709,0.0,22.7,31.5,16.0,Michoacan
GHCND:MX000016144,ZAMORA MX,20130902,0.0,22.7,31.5,15.0,Michoacan
GHCND:MXM00076040,EJIDO NUEVO LEON BC. MX,20170330,0.0,22.8,31.5,11.0,Baja California
GHCND:MX000076577,GUANAJUATO MX,20150526,0.0,22.8,31.5,13.6,Guanajuato
GHCND:MXM00076762,CHILPANCINGO RO. MX,20140820,0.5,22.8,31.5,16.6,Guerrero
GHCND:MXM00076471,SOMBRERETE ZAC. MX,20130426,0.0,22.8,31.5,8.1,Zacatecas
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20141008,0.0,22.9,31.5,11.0,Chihuahua
GHCND:MX000076577,GUANAJUATO MX,20150519,0.0,22.9,31.5,16.0,Guanajuato
GHCND:MXM00076762,CHILPANCINGO RO. MX,20160103,0.0,22.9,31.5,16.4,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20161026,2.3,22.9,31.5,16.9,Guerrero
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20120327,0.0,22.9,31.5,15.2,San Luis Potosi
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20120408,0.0,22.9,31.5,15.7,San Luis Potosi
GHCND:MXM00076258,CIUDAD OBREGON SON. MX,20170111,0.0,23.0,31.5,9.5,Sonora
GHCND:MXM00076040,EJIDO NUEVO LEON BC. MX,20131016,0.0,23.1,31.5,13.9,Baja California
GHCND:MXM00076848,COMITAN CHIS. MX,20130512,0.5,23.1,31.5,16.2,Chiapas
GHCND:MXM00076840,ARRIAGA CHIS. MX,20170130,0.0,23.1,31.5,18.0,Chiapas
GHCND:MXM00076423,DURANGO DGO. MX,20120812,0.0,23.1,31.5,15.0,Durango
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20150414,0.0,23.1,31.5,18.4,San Luis Potosi
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20161016,0.0,23.1,31.5,14.0,San Luis Potosi
GHCND:MXM00076323,HIDALGO DEL PARRAL CHIH. MX,20110920,0.0,23.2,31.5,14.3,Chihuahua
GHCND:MXM00076762,CHILPANCINGO RO. MX,20120921,0.0,23.2,31.5,17.2,Guerrero
GHCND:MXM00076762,CHILPANCINGO RO. MX,20131014,0.0,23.2,31.5,17.7,Guerrero
GHCND:MXM00076581,RIO VERDE S.L.P. MX,20120422,0.0,23.2,31.5,13.4,San Luis Potosi
GHCND:MXM00076695,INGENIERO ALBERTO ACUNA ONGAY MX,20140213,0.0,23.3,31.5,19.4,Campeche
GHCND:MXM00076762,CHILPANCINGO RO. MX,20110927,0.0,23.3,31.5,18.4,Guerrero
