Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
3/28/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/28/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/29/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/29/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
3/30/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
3/30/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/2/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/2/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/3/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
4/3/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/4/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
4/4/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/9/2012,Michoacan,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3,3.5,3.5
4/9/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/10/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/10/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/11/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/11/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/12/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/12/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/13/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/13/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/16/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/16/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/17/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/17/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/18/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/18/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/19/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/19/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
4/20/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/20/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/23/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/23/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/24/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/24/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/25/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/25/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/26/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/26/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/27/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/27/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
4/30/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
4/30/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
5/2/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/2/2012,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
5/3/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/3/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
5/4/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/4/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
5/7/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/7/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4.5,5,5
5/8/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/8/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/9/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/9/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/10/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/10/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/11/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/11/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/14/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/14/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/15/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/15/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/16/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/16/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/17/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/17/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/18/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/18/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/21/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/21/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/22/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/22/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/23/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/23/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/24/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/24/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
5/25/2012,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,3.5,4,4
5/25/2012,Tamaulipas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,4,4.5,4.5
