"","Date","Mean_daily_price","Mean_daily_forecast","Avg_next_28","Model_sale","Value","Best_sale","Best_value"
"669",2015-10-31,12.5,8.45290896677081,9.28571428571429,12.5,3.21428571428571,12.5,3.21428571428571
"670",2015-11-01,12.5,8.45290896677081,9.08928571428571,12.5,3.41071428571429,12.5,3.41071428571429
"671",2015-11-02,12.5,8.45290896677081,8.89285714285714,12.5,3.60714285714286,12.5,3.60714285714286
"672",2015-11-03,12.5,10.7671601210552,8.69642857142857,11.5,2.80357142857143,11.5,2.80357142857143
"673",2015-11-04,11.5,10.7619312567883,8.53571428571429,11.5,2.96428571428571,11.5,2.96428571428571
"674",2015-11-05,11.5,10.7383976644171,8.375,10.5,2.125,11.5,3.125
"675",2015-11-06,11.5,8.6626097511992,8.25,10.5,2.25,11.5,3.25
"676",2015-11-07,11.5,8.6626097511992,8.125,10.5,2.375,11.5,3.375
"677",2015-11-08,11.5,8.6626097511992,8,10.5,2.5,11.5,3.5
"678",2015-11-09,11.5,8.65770474016658,7.875,10.5,2.625,10.5,2.625
"679",2015-11-10,10.5,10.1467202380887,7.78571428571429,10.5,2.71428571428571,10.5,2.71428571428571
"680",2015-11-11,10.5,10.424132834706,7.69642857142857,10.5,2.80357142857143,10.5,2.80357142857143
"681",2015-11-12,10.5,10.2469723487443,7.60714285714286,7,-0.607142857142857,9,1.39285714285714
"682",2015-11-13,9,7.38650231679603,7.57142857142857,7,-0.571428571428571,9,1.42857142857143
"683",2015-11-14,9,7.38650231679603,7.53571428571429,7,-0.535714285714286,9,1.46428571428571
"684",2015-11-15,9,7.38650231679603,7.5,7,-0.5,9,1.5
"685",2015-11-16,9,7.38650231679603,7.46428571428571,7,-0.464285714285714,9,1.53571428571429
"686",2015-11-17,9,7.99434277880599,7.53571428571429,7,-0.535714285714286,11,3.46428571428571
"687",2015-11-18,7,7.99686830946037,7.67857142857143,7,-0.678571428571429,11,3.32142857142857
"688",2015-11-19,7,7.90163269915222,7.82142857142857,7,-0.821428571428571,11,3.17857142857143
"689",2015-11-20,7,7.90558915002461,7.96428571428571,7,-0.964285714285714,11,3.03571428571429
"690",2015-11-21,7,7.90558915002461,8.10714285714286,7,-1.10714285714286,11,2.89285714285714
"691",2015-11-22,7,7.90558915002461,8.25,7,-1.25,11,2.75
"692",2015-11-23,7,7.91487077276279,8.39285714285714,7,-1.39285714285714,11,2.60714285714286
"693",2015-11-24,7,8.83831646136226,8.53571428571429,7,-1.53571428571429,11,2.46428571428571
"694",2015-11-25,7,9.44414786920514,8.67857142857143,7,-1.67857142857143,11,2.32142857142857
"695",2015-11-26,7,9.57442778903645,8.82142857142857,7,-1.82142857142857,11,2.17857142857143
"696",2015-11-27,7,8.60308200317602,8.96428571428571,7,-1.96428571428571,11,2.03571428571429
"697",2015-11-28,7,8.60308200317602,9.10714285714286,7,-2.10714285714286,11,1.89285714285714
"698",2015-11-29,7,8.60308200317602,9.25,7,-2.25,11,1.75
"699",2015-11-30,7,8.5924350652867,9.39285714285714,7,-2.39285714285714,11,1.60714285714286
"700",2015-12-01,7,8.48141461673335,9.53571428571429,7,-2.53571428571429,11,1.46428571428571
"701",2015-12-02,7,8.65322885834885,9.67857142857143,7,-2.67857142857143,11,1.32142857142857
"702",2015-12-03,7,8.65051443996554,9.82142857142857,8,-1.82142857142857,11,1.17857142857143
"703",2015-12-04,8,7.60257160502041,9.92857142857143,8,-1.92857142857143,11,1.07142857142857
"704",2015-12-05,8,7.60257160502041,10.0357142857143,8,-2.03571428571429,11,0.964285714285714
"705",2015-12-06,8,7.60257160502041,10.1428571428571,8,-2.14285714285714,11,0.857142857142858
"706",2015-12-07,8,7.46440870915387,10.25,11,0.75,11,0.75
"707",2015-12-08,8,7.30431302817373,10.3571428571429,11,0.642857142857142,11,0.642857142857142
"708",2015-12-09,8,7.46036677545086,10.3571428571429,11,0.642857142857142,11,0.642857142857142
"709",2015-12-10,8,7.51988284416761,10.3571428571429,11,0.642857142857142,11,0.642857142857142
"710",2015-12-11,8,7.06689494931817,10.5892857142857,11,0.410714285714286,14.5,3.91071428571429
